group,n,b,utility,gain_per_budget,mean_gain,attempts,outside,noop,duplicate,evaluated,zero_evaluation_trials
A,3,4,0.0012965282510638855,0.0012965282510638855,0.005186113004255542,3835,2605,0,78,1152,0
A,3,8,0.0010826522815940882,0.0010826522815940882,0.008661218252752706,8876,6135,0,437,2304,0
A,4,4,0.00028647232245376363,0.0002412358381617417,0.0009649433526469668,732,511,18,7,196,121
A,4,8,0.00026384580303505134,0.0002379047509345256,0.0019032380074762048,1642,1104,41,70,427,55
A,5,4,0.0011622231560546896,0.0011622231560546896,0.004648892624218758,3495,2322,0,21,1152,0
A,5,8,0.0008993851166609018,0.0008993851166609018,0.007195080933287214,7422,4972,0,146,2304,0
A,6,4,0.0005163593840598194,0.00038726953804486456,0.0015490781521794582,680,312,0,184,184,104
A,6,8,0.00022129687888277976,0.00019363476902243228,0.0015490781521794582,1832,728,0,920,184,104
C,1,4,0.00035049406916796603,0.00015846591763869766,0.0006338636705547906,45269,44793,146,8,322,115
C,1,8,0.0003767768490854217,0.0001553079780905569,0.0012424638247244553,91382,90359,276,54,693,64
C,2,4,9.272065180583196e-05,2.940749286297476e-05,0.00011762997145189903,46080,46039,15,0,26,264
C,2,8,0.00014419225742025635,2.2056137441881217e-05,0.00017644909953504974,92160,92086,28,0,46,249
C,3,4,0.0010572797533271265,0.0010572797533271265,0.004229119013308506,4180,2957,0,71,1152,0
C,3,8,0.0008661617378030708,0.0008661617378030708,0.006929293902424566,9311,6586,0,421,2304,0
C,4,4,0.0002615250883919186,0.00023302667442814696,0.0009321066977125878,673,336,17,16,304,73
C,4,8,0.000263598206081134,0.00024084051511710775,0.001926724120936862,1481,730,40,83,628,32
C,5,4,0.0012301771340779417,0.0012301771340779417,0.004920708536311767,3553,2367,0,34,1152,0
C,5,8,0.0008961160243420285,0.0008961160243420285,0.007168928194736228,7459,4983,0,172,2304,0
C,6,4,0.00042350811779770997,0.0003176310883482825,0.00127052435339313,692,348,0,172,172,116
C,6,8,0.0001815034790561614,0.00015881554417414124,0.00127052435339313,1844,812,0,860,172,116
