group,instance,state,selected_action,fixed_action,selected_test_utility,fixed_test_utility,random_test_utility,hindsight_oracle_utility
C,Mk02,Mk02-11-2,0.25-N3-b4,0.25-N5-b4,0.0004053941641688208,4.196027941250199e-05,0.00023931129553200314,0.0028437640874721766
C,Mk02,Mk02-22-0,0.25-N1-b4,0.25-N5-b4,0.0,0.000727666903775203,0.0005413102609425977,0.00306173459759089
C,Mk02,Mk02-22-1,0.25-N2-b4,0.25-N5-b4,0.0,0.0,0.0003798689220299049,0.0014795247598303682
C,Mk02,Mk02-22-2,0.25-N3-b4,0.25-N5-b4,0.000610867067285718,0.0,0.00012878491902856352,0.0008613466889792901
C,Mk02,Mk02-33-0,0.25-N5-b4,0.25-N5-b4,0.0007946092120885502,0.0007946092120885502,0.0007519113774596336,0.0037654359308886463
C,Mk02,Mk02-33-1,0.5-N3-b8,0.25-N5-b4,0.0013351658719252277,0.0006991753172698005,0.0003189882283672412,0.0020883994864075456
C,Mk02,Mk02-33-2,0.5-N3-b4,0.25-N5-b4,0.0009928078614775233,0.0004869487505424358,0.000268204645869305,0.0012037718067456334
C,Mk04,Mk04-11-0,0.25-N6-b4,0.25-N5-b4,0.0015487697247253355,0.0008124244237274227,0.00037629123125782724,0.0015487697247253355
C,Mk04,Mk04-11-1,0.5-N3-b4,0.25-N5-b4,0.0017569712897464373,0.001453568552374052,0.00042934748349402065,0.0018481663083388185
C,Mk04,Mk04-11-2,0.25-N5-b4,0.25-N5-b4,1.178157203459004e-05,1.178157203459004e-05,9.038235818849354e-05,0.0006096725732096769
C,Mk04,Mk04-22-0,0.25-N3-b4,0.25-N5-b4,0.0009380103533164587,0.00012419299269769983,0.00029762339986670475,0.0012791680205434524
C,Mk04,Mk04-22-1,0.25-N5-b4,0.25-N5-b4,0.0020659105086917517,0.0020659105086917517,0.00042235109764329634,0.0025583360410869047
C,Mk04,Mk04-22-2,0.5-N5-b4,0.25-N5-b4,0.0012420227846253891,0.001198771006497137,0.00026571638944978166,0.0013997683240146942
C,Mk04,Mk04-33-0,0.25-N5-b4,0.25-N5-b4,0.0009293992345533464,0.0009293992345533464,0.0004631515853681137,0.0016419606889524591
C,Mk04,Mk04-33-1,0.25-N5-b4,0.25-N5-b4,0.0016839585915132613,0.0016839585915132613,0.00043687727370140655,0.0017610230941306245
C,Mk04,Mk04-33-2,0.25-N1-b4,0.25-N5-b4,0.0007126655569913852,0.0007462436114656849,0.00024454094368531,0.001589082055836793
C,Mk05,Mk05-11-0,0.5-N4-b4,0.25-N5-b4,0.00024668571866421274,0.002516458733971891,0.00036529830723527917,0.002516458733971891
C,Mk05,Mk05-11-1,0.25-N3-b4,0.25-N5-b4,0.0013333563463431822,0.0021696950553762363,0.0003373585716219601,0.0021696950553762363
C,Mk05,Mk05-11-2,0.5-N3-b4,0.25-N5-b4,0.0009848538758653138,0.00023262611009684927,0.00019912918259244627,0.0009848538758653138
C,Mk05,Mk05-22-0,0.25-N3-b4,0.25-N5-b4,0.0028572617953800004,0.002569992557273912,0.0009581222141819977,0.004049471027793743
C,Mk05,Mk05-22-1,0.25-N3-b8,0.25-N5-b4,0.001115272465445324,0.0016209720030420836,0.0005345249268205382,0.00168258691291669
C,Mk05,Mk05-22-2,0.25-N5-b4,0.25-N5-b4,0.0029656342785002875,0.0029656342785002875,0.0005101896754831735,0.0029656342785002875
C,Mk05,Mk05-33-0,0.25-N3-b4,0.25-N5-b4,0.00012279473414111017,0.0012356865434627123,0.00022501786801169767,0.0013920211937442429
C,Mk05,Mk05-33-1,0.5-N5-b4,0.25-N5-b4,0.002241168336074695,0.001245442590963226,0.00044859173393206375,0.002241168336074695
C,Mk05,Mk05-33-2,0.25-N3-b4,0.25-N5-b4,0.0008732007267143569,0.0006848358267054894,0.0005725233485053218,0.0018963441313468018
