group,features,instance,state,selected_action,fixed_action,selected_utility,fixed_utility,random_utility,hindsight_oracle_utility,prediction_seconds
S,cross,Mk05,Mk05-22-1,0.25-N5-b4,0.5-N5-b4,0.0016209720030420807,0.0005937505990304978,0.00039660822909690026,0.0016209720030420807,0.0004298000001199398
S,simple,Mk05,Mk05-22-2,0.25-N5-b4,0.5-N5-b4,0.0018428406216217392,0.00223693395129563,0.000397805082769178,0.00223693395129563,0.00026180000008935167
S,cross,Mk05,Mk05-22-2,0.25-N5-b4,0.5-N5-b4,0.0018428406216217392,0.00223693395129563,0.000397805082769178,0.00223693395129563,0.0004298000001199398
S,simple,Mk05,Mk05-33-0,0.25-N5-b4,0.5-N5-b4,0.0008055148912359965,0.0002263190040259265,0.00013234063228315273,0.0008055148912359965,0.00026320000006307964
S,cross,Mk05,Mk05-33-0,0.25-N5-b4,0.5-N5-b4,0.0008055148912359965,0.0002263190040259265,0.00013234063228315273,0.0008055148912359965,0.0004429000000527594
S,simple,Mk05,Mk05-33-1,0.25-N5-b4,0.5-N5-b4,0.0009074275037718274,0.0020953616598440162,0.00021848594545729712,0.0020953616598440162,0.00026260000004185713
S,cross,Mk05,Mk05-33-1,0.25-N5-b4,0.5-N5-b4,0.0009074275037718274,0.0020953616598440162,0.00021848594545729712,0.0020953616598440162,0.0004311999998662941
S,simple,Mk05,Mk05-33-2,0.25-N5-b4,0.5-N5-b4,0.0006848358267054894,0.0004193278671529967,0.0003695965486138436,0.0014349885632216957,0.0002607999999781896
S,cross,Mk05,Mk05-33-2,0.25-N5-b4,0.5-N5-b4,0.0006848358267054894,0.0004193278671529967,0.0003695965486138436,0.0014349885632216957,0.00042940000003000023
C,simple,Mk01,Mk01-11-0,0.5-N5-b4,0.25-N5-b4,0.0027551207824087183,0.0006290338268844014,0.0006956180653606985,0.0027551207824087183,0.000291600000082326
C,cross,Mk01,Mk01-11-0,0.5-N5-b4,0.25-N5-b4,0.0027551207824087183,0.0006290338268844014,0.0006956180653606985,0.0027551207824087183,0.0004604000000654196
C,simple,Mk01,Mk01-11-1,0.25-N5-b4,0.25-N5-b4,0.0009342762665533822,0.0009342762665533822,0.00044750873514046445,0.0020100706617396965,0.0002789999998640269
C,cross,Mk01,Mk01-11-1,0.25-N5-b4,0.25-N5-b4,0.0009342762665533822,0.0009342762665533822,0.00044750873514046445,0.0020100706617396965,0.0004446999998890533
C,simple,Mk01,Mk01-11-2,0.5-N5-b4,0.25-N5-b4,0.0017121405391897371,0.0018975433518808311,0.001236249587797681,0.005888147339250896,0.0002761000000646163
C,cross,Mk01,Mk01-11-2,0.25-N3-b4,0.25-N5-b4,0.00021516834158155813,0.0018975433518808311,0.001236249587797681,0.005888147339250896,0.0004538000000593456
C,simple,Mk01,Mk01-22-0,0.25-N3-b4,0.25-N5-b4,0.000101828329455969,0.0020480238523913844,0.000651151810942174,0.0024908436202964617,0.00032549999991715595
C,cross,Mk01,Mk01-22-0,0.25-N1-b4,0.25-N5-b4,0.0,0.0020480238523913844,0.000651151810942174,0.0024908436202964617,0.00045130000012250093
C,simple,Mk01,Mk01-22-1,0.25-N5-b4,0.25-N5-b4,0.004077201298157277,0.004077201298157277,0.0005723832541802359,0.004077201298157277,0.00028029999998580024
C,cross,Mk01,Mk01-22-1,0.5-N3-b4,0.25-N5-b4,0.0020445184208004053,0.004077201298157277,0.0005723832541802359,0.004077201298157277,0.00044720000005327165
C,simple,Mk01,Mk01-22-2,0.25-N5-b4,0.25-N5-b4,0.00028808125346659616,0.00028808125346659616,4.55797419605915e-05,0.00028808125346659616,0.00028300000008130155
C,cross,Mk01,Mk01-22-2,0.25-N3-b4,0.25-N5-b4,0.0001459447673623495,0.00028808125346659616,4.55797419605915e-05,0.00028808125346659616,0.00044489999982033623
C,simple,Mk01,Mk01-33-0,0.25-N3-b4,0.25-N5-b4,0.0014679052023442057,0.0036771668863254843,0.0006686962908382219,0.0036771668863254843,0.00027769999996962724
C,cross,Mk01,Mk01-33-0,0.5-N5-b4,0.25-N5-b4,0.002729996455612907,0.0036771668863254843,0.0006686962908382219,0.0036771668863254843,0.0004432999999153253
C,simple,Mk01,Mk01-33-1,0.25-N5-b4,0.25-N5-b4,0.000439629849471893,0.000439629849471893,0.0003144388926078536,0.0018726699648052756,0.00027549999981602014
C,cross,Mk01,Mk01-33-1,0.25-N5-b4,0.25-N5-b4,0.000439629849471893,0.000439629849471893,0.0003144388926078536,0.0018726699648052756,0.00044980000006944465
C,simple,Mk01,Mk01-33-2,0.5-N5-b4,0.25-N5-b4,0.00031163068890431534,0.0029747292354591207,0.001990659619321902,0.007513023908191967,0.0002769999998690764
C,cross,Mk01,Mk01-33-2,0.25-N3-b4,0.25-N5-b4,0.0004523621406306707,0.0029747292354591207,0.001990659619321902,0.007513023908191967,0.0004541999999219115
C,simple,Mk02,Mk02-11-0,0.5-N5-b4,0.25-N5-b4,0.003434540991165213,0.0033519533703553215,0.0014795556335891488,0.003831151442215734,0.000279999999975189
C,cross,Mk02,Mk02-11-0,0.25-N5-b4,0.25-N5-b4,0.0033519533703553215,0.0033519533703553215,0.0014795556335891488,0.003831151442215734,0.0006840000000920554
C,simple,Mk02,Mk02-11-1,0.25-N5-b4,0.25-N5-b4,0.0025964350280178296,0.0025964350280178296,0.0006613739589507751,0.0025964350280178296,0.0004486000000269996
C,cross,Mk02,Mk02-11-1,0.5-N5-b4,0.25-N5-b4,0.0020797575082516003,0.0025964350280178296,0.0006613739589507751,0.0025964350280178296,0.000867200000129742
C,simple,Mk02,Mk02-11-2,0.5-N5-b4,0.25-N5-b4,0.0002997399579600004,4.196027941250199e-05,0.00023931129553200314,0.0028437640874721766,0.0002835999998751504
C,cross,Mk02,Mk02-11-2,0.25-N6-b4,0.25-N5-b4,0.0,4.196027941250199e-05,0.00023931129553200314,0.0028437640874721766,0.0004346000000623462
C,simple,Mk02,Mk02-22-0,0.5-N5-b4,0.25-N5-b4,0.00306173459759089,0.000727666903775203,0.0005413102609425977,0.00306173459759089,0.00028090000000702275
C,cross,Mk02,Mk02-22-0,0.5-N5-b4,0.25-N5-b4,0.00306173459759089,0.000727666903775203,0.0005413102609425977,0.00306173459759089,0.00048659999993105885
C,simple,Mk02,Mk02-22-1,0.25-N5-b4,0.25-N5-b4,0.0,0.0,0.0003798689220299049,0.0014795247598303682,0.00027410000006966584
C,cross,Mk02,Mk02-22-1,0.5-N5-b4,0.25-N5-b4,0.0006762724741682677,0.0,0.0003798689220299049,0.0014795247598303682,0.0004254999998920539
C,simple,Mk02,Mk02-22-2,0.5-N3-b4,0.25-N5-b4,0.00021815942537252767,0.0,0.00012878491902856352,0.0008613466889792901,0.0002710999999635533
C,cross,Mk02,Mk02-22-2,0.25-N6-b4,0.25-N5-b4,0.0,0.0,0.00012878491902856352,0.0008613466889792901,0.00042430000007698254
C,simple,Mk02,Mk02-33-0,0.5-N5-b4,0.25-N5-b4,0.0010430217322226043,0.0007946092120885502,0.0007519113774596336,0.0037654359308886463,0.0002784999999221327
C,cross,Mk02,Mk02-33-0,0.25-N3-b4,0.25-N5-b4,0.0015676551629521193,0.0007946092120885502,0.0007519113774596336,0.0037654359308886463,0.0004261999999926047
C,simple,Mk02,Mk02-33-1,0.25-N5-b4,0.25-N5-b4,0.0006991753172698005,0.0006991753172698005,0.0003189882283672412,0.0020883994864075456,0.0002710999999635533
C,cross,Mk02,Mk02-33-1,0.5-N5-b4,0.25-N5-b4,1.6734988925443074e-05,0.0006991753172698005,0.0003189882283672412,0.0020883994864075456,0.00042589999998199346
C,simple,Mk02,Mk02-33-2,0.5-N3-b4,0.25-N5-b4,0.0009928078614775233,0.0004869487505424358,0.000268204645869305,0.0012037718067456334,0.0002696999999898253
C,cross,Mk02,Mk02-33-2,0.25-N6-b4,0.25-N5-b4,0.0,0.0004869487505424358,0.000268204645869305,0.0012037718067456334,0.0004403000000365864
C,simple,Mk04,Mk04-11-0,0.25-N5-b4,0.25-N5-b4,0.0008124244237274227,0.0008124244237274227,0.00037629123125782724,0.0015487697247253355,0.00026520000005803013
C,cross,Mk04,Mk04-11-0,0.5-N5-b4,0.25-N5-b4,0.0008124244237274227,0.0008124244237274227,0.00037629123125782724,0.0015487697247253355,0.0004164000001765089
C,simple,Mk04,Mk04-11-1,0.5-N2-b8,0.25-N5-b4,0.0,0.001453568552374052,0.00042934748349402065,0.0018481663083388185,0.0002597000000150729
C,cross,Mk04,Mk04-11-1,0.5-N5-b4,0.25-N5-b4,0.0009434313129640765,0.001453568552374052,0.00042934748349402065,0.0018481663083388185,0.000414699999964796
C,simple,Mk04,Mk04-11-2,0.5-N3-b4,0.25-N5-b4,0.00020043749843377335,1.178157203459004e-05,9.038235818849354e-05,0.0006096725732096769,0.0002598000000944012
C,cross,Mk04,Mk04-11-2,0.5-N3-b4,0.25-N5-b4,0.00020043749843377335,1.178157203459004e-05,9.038235818849354e-05,0.0006096725732096769,0.0004220000000714208
C,simple,Mk04,Mk04-22-0,0.25-N5-b4,0.25-N5-b4,0.00012419299269769983,0.00012419299269769983,0.00029762339986670475,0.0012791680205434524,0.0002575999999407941
C,cross,Mk04,Mk04-22-0,0.25-N5-b4,0.25-N5-b4,0.00012419299269769983,0.00012419299269769983,0.00029762339986670475,0.0012791680205434524,0.00041119999991678924
