instance,event_kind,event_time,event_target,seed,operator_id,source,decode_budget,decode_count,feasible_count,feasible_rate,changed_count,min_makespan,min_tec,hv,runtime_seconds,error_count
Mk07,order_cancellation,50,2,44,N6,baseline,20,20,20,1.0,20,451.77,5416.125,0.04860937127307827,0.07244179999906919,0
Mk07,order_cancellation,50,2,44,llm_i1_machine_speed,llm,20,20,20,1.0,20,451.77,5356.362999999999,0.11655384719943496,0.0406397000006109,0
Mk07,order_cancellation,50,2,44,llm_e1_order_agv,llm,20,20,20,1.0,20,428.35999999999996,5277.4580000000005,0.4234328549699016,0.05465080000067246,0
Mk07,order_cancellation,50,2,44,llm_e2_machine_transport,llm,20,20,20,1.0,20,466.77,5431.557,0.010000000000000018,0.0404949999992823,0
Mk07,order_cancellation,50,2,44,llm_m1_transport_rewrite,llm,20,20,20,1.0,20,426.0,5301.85,0.386388987872151,0.03772279999975581,0
Mk07,order_cancellation,50,2,55,N1,baseline,20,20,20,1.0,20,402.21000000000004,5127.197,0.28881077572216807,0.04504629999973986,0
Mk07,order_cancellation,50,2,55,N2,baseline,20,20,20,1.0,20,384.90999999999997,5112.14,0.6415720036623126,0.0429377000000386,0
Mk07,order_cancellation,50,2,55,N3,baseline,20,20,20,1.0,20,382.82,5043.98,0.9489222340100891,0.041013699999894015,0
Mk07,order_cancellation,50,2,55,N4,baseline,20,20,20,1.0,20,379.82,4998.68,1.2100000000000002,0.07403810000141675,0
Mk07,order_cancellation,50,2,55,N5,baseline,20,20,20,1.0,20,411.0,5181.5,0.12436015637489331,0.040769899998849723,0
Mk07,order_cancellation,50,2,55,N6,baseline,20,20,20,1.0,20,419.32,5233.18,0.020256410256410347,0.07664140000088082,0
Mk07,order_cancellation,50,2,55,llm_i1_machine_speed,llm,20,20,20,1.0,20,419.32,5259.9800000000005,0.010000000000000018,0.04319519999990007,0
Mk07,order_cancellation,50,2,55,llm_e1_order_agv,llm,20,20,20,1.0,20,386.96999999999997,5065.28,0.7622974707765967,0.057113099999696715,0
Mk07,order_cancellation,50,2,55,llm_e2_machine_transport,llm,20,20,20,1.0,20,419.32,5253.46,0.012495216226559691,0.04308779999882972,0
Mk07,order_cancellation,50,2,55,llm_m1_transport_rewrite,llm,20,20,20,1.0,20,399.41,5147.14,0.3212587694439195,0.04236960000162071,0
