state,instance,split,generation,seed,rep,policy,decodes,budget,gain,batches,evaluated,feature_seconds,wall_seconds
Mk04-303-19,Mk04,explore,19,303,2,fixed,60,96,0.046238194949932386,96,60,0.03771950003283564,0.7093027000009897
Mk04-303-19,Mk04,explore,19,303,2,round,96,96,0.02600461738072283,39,64,0.01421640000626212,0.238186599999608
Mk04-303-19,Mk04,explore,19,303,2,stop,96,96,0.05635287138945851,27,85,0.010569400008535013,0.17660990000149468
Mk04-303-19,Mk04,explore,19,303,2,feedback,96,96,0.03468726604269404,30,81,0.0112021000313689,0.19679780000296887
Mk05-101-0,Mk05,explore,0,101,0,fixed,96,96,0.1505089091584808,24,96,0.0112267999938922,0.204207700000552
Mk05-101-0,Mk05,explore,0,101,0,round,96,96,0.13309850968834072,39,63,0.019585599984566215,0.28345619999890914
Mk05-101-0,Mk05,explore,0,101,0,stop,96,96,0.1505089091584808,24,96,0.011273599993728567,0.20407159999740543
Mk05-101-0,Mk05,explore,0,101,0,feedback,96,96,0.16280844242852474,31,78,0.01536350000242237,0.23698999999760417
Mk05-101-0,Mk05,explore,0,101,1,fixed,96,96,0.0953633847459537,25,96,0.011810399999376386,0.2120070000019041
Mk05-101-0,Mk05,explore,0,101,1,round,96,96,0.15707149382293226,38,62,0.018715400001383387,0.2912664000032237
Mk05-101-0,Mk05,explore,0,101,1,stop,96,96,0.1781151583172679,25,90,0.011739299981854856,0.20190130000264617
Mk05-101-0,Mk05,explore,0,101,1,feedback,96,96,0.15750359380683518,31,72,0.0153370999978506,0.23316769999655662
Mk05-101-0,Mk05,explore,0,101,2,fixed,96,96,0.1518583482179449,24,96,0.01232410001102835,0.22053310000046622
Mk05-101-0,Mk05,explore,0,101,2,round,96,96,0.17962734377168474,39,63,0.019570000025851186,0.2939641999982996
Mk05-101-0,Mk05,explore,0,101,2,stop,96,96,0.1518583482179449,24,96,0.011005699998349883,0.20155330000125105
Mk05-101-0,Mk05,explore,0,101,2,feedback,96,96,0.15297222368731178,31,79,0.015706900026998483,0.24789850000524893
Mk05-101-9,Mk05,explore,9,101,0,fixed,96,96,0.053453893354064565,24,96,0.011918399985006545,0.20265480000671232
Mk05-101-9,Mk05,explore,9,101,0,round,95,96,0.03473596090630719,37,63,0.01739780003845226,0.274448800002574
Mk05-101-9,Mk05,explore,9,101,0,stop,96,96,0.03620564395458673,29,84,0.013457199973345269,0.21393730000272626
Mk05-101-9,Mk05,explore,9,101,0,feedback,96,96,0.02337659898918784,30,79,0.014575200017134193,0.23047519999818178
Mk05-101-9,Mk05,explore,9,101,1,fixed,96,96,0.0293795732419986,24,96,0.010768500011181459,0.19056299999647308
Mk05-101-9,Mk05,explore,9,101,1,round,96,96,0.007732967599631433,37,62,0.016837899973324966,0.2640719999981229
Mk05-101-9,Mk05,explore,9,101,1,stop,95,96,0.034075930916220895,26,78,0.011666700003843289,0.1757097999943653
Mk05-101-9,Mk05,explore,9,101,1,feedback,96,96,0.04429952627031717,30,71,0.014649699995061383,0.2258813000007649
Mk05-101-9,Mk05,explore,9,101,2,fixed,77,96,0.02103688945593544,96,77,0.044423800020013005,0.7530941000004532
Mk05-101-9,Mk05,explore,9,101,2,round,96,96,0.025870954015362872,37,68,0.017322100007731933,0.2675299999973504
Mk05-101-9,Mk05,explore,9,101,2,stop,96,96,0.03396840017344668,29,84,0.013262300002679694,0.22599389999959385
Mk05-101-9,Mk05,explore,9,101,2,feedback,96,96,0.032403354089857096,30,78,0.015108299994608387,0.23399259999860078
Mk05-101-19,Mk05,explore,19,101,0,fixed,94,96,0.034426586126456035,96,94,0.04437719997076783,0.4897369000027538
Mk05-101-19,Mk05,explore,19,101,0,round,96,96,0.01777148961723879,37,67,0.01666930000646971,0.2495647000032477
Mk05-101-19,Mk05,explore,19,101,0,stop,96,96,0.046514314811233755,29,86,0.0130360000039218,0.2162767000045278
Mk05-101-19,Mk05,explore,19,101,0,feedback,96,96,0.019496272927963895,30,76,0.015270400006556883,0.22293400000489783
Mk05-101-19,Mk05,explore,19,101,1,fixed,96,96,0.03438348315778564,24,96,0.010560700022324454,0.19085059999633813
Mk05-101-19,Mk05,explore,19,101,1,round,96,96,0.02340355679329114,35,67,0.015658000047551468,0.24210779999702936
Mk05-101-19,Mk05,explore,19,101,1,stop,96,96,0.03077580025461322,25,90,0.01102720000926638,0.1779300999987754
Mk05-101-19,Mk05,explore,19,101,1,feedback,96,96,0.010145202877481265,30,76,0.014311999970232137,0.21733369999856222
Mk05-101-19,Mk05,explore,19,101,2,fixed,73,96,0.02925936250268077,96,73,0.04335590004484402,0.7506579999972018
Mk05-101-19,Mk05,explore,19,101,2,round,96,96,0.012782440399983117,37,68,0.017512200007331558,0.2680380000019795
Mk05-101-19,Mk05,explore,19,101,2,stop,96,96,0.03828841956425466,28,83,0.01286039999104105,0.20411240000248654
Mk05-101-19,Mk05,explore,19,101,2,feedback,96,96,0.04198919452287114,29,81,0.01443650000874186,0.23607439999614144
Mk05-202-0,Mk05,explore,0,202,0,fixed,96,96,0.20596723564141264,24,96,0.010673999990103766,0.1983509999990929
Mk05-202-0,Mk05,explore,0,202,0,round,96,96,0.11200690228478266,39,65,0.018087099968397524,0.2750631000017165
Mk05-202-0,Mk05,explore,0,202,0,stop,95,96,0.20596723564141264,24,92,0.010826300007465761,0.19132649999664864
Mk05-202-0,Mk05,explore,0,202,0,feedback,96,96,0.1476252510806058,29,79,0.016048700010287575,0.2375603999971645
Mk05-202-0,Mk05,explore,0,202,1,fixed,96,96,0.1768475183014086,24,96,0.011168500001076609,0.19989089999580756
Mk05-202-0,Mk05,explore,0,202,1,round,96,96,0.1656260508692954,39,65,0.01772799999162089,0.27403729999787174
Mk05-202-0,Mk05,explore,0,202,1,stop,96,96,0.17700429436873916,30,86,0.013339099983568303,0.20331979999900796
Mk05-202-0,Mk05,explore,0,202,1,feedback,96,96,0.14549940907187284,31,72,0.015302799984056037,0.22995929999888176
Mk05-202-0,Mk05,explore,0,202,2,fixed,96,96,0.2218533538556479,25,96,0.011479499997221865,0.20877029999974184
Mk05-202-0,Mk05,explore,0,202,2,round,96,96,0.1398031974406984,39,62,0.01819140001316555,0.2772220999977435
Mk05-202-0,Mk05,explore,0,202,2,stop,96,96,0.2051634331426065,25,90,0.011310200017760508,0.18804580000141868
Mk05-202-0,Mk05,explore,0,202,2,feedback,96,96,0.1525664215425326,30,79,0.014787199994316325,0.23923220000142464
Mk05-202-9,Mk05,explore,9,202,0,fixed,76,96,0.025442373517665012,96,76,0.04580059996806085,0.773855999999796
Mk05-202-9,Mk05,explore,9,202,0,round,95,96,0.029021361989943262,37,63,0.01815910001459997,0.2765279000013834
Mk05-202-9,Mk05,explore,9,202,0,stop,96,96,0.04459438518830575,30,84,0.014369599986821413,0.2407037000011769
Mk05-202-9,Mk05,explore,9,202,0,feedback,96,96,0.05377951424568626,30,81,0.014475700008915737,0.23506970000016736
Mk05-202-9,Mk05,explore,9,202,1,fixed,96,96,0.028485878648161295,24,96,0.011402600022847764,0.2116900999972131
Mk05-202-9,Mk05,explore,9,202,1,round,95,96,0.02294097142901639,37,66,0.016811300010886043,0.26981399999931455
Mk05-202-9,Mk05,explore,9,202,1,stop,96,96,0.028485878648161295,24,96,0.013000699997064658,0.24639580000075512
Mk05-202-9,Mk05,explore,9,202,1,feedback,96,96,0.042265830138997276,30,81,0.014676599981612526,0.22512200000346638
Mk05-202-9,Mk05,explore,9,202,2,fixed,76,96,0.025442373517665012,96,76,0.048261299984005746,0.8239954999953625
Mk05-202-9,Mk05,explore,9,202,2,round,96,96,0.014994273414320724,39,64,0.01897780000581406,0.2834816000031424
Mk05-202-9,Mk05,explore,9,202,2,stop,96,96,0.042547625238121736,25,90,0.011911200002941769,0.20249979999789502
Mk05-202-9,Mk05,explore,9,202,2,feedback,96,96,0.021302890956357255,30,80,0.014824100006080698,0.23676529999647755
Mk05-202-19,Mk05,explore,19,202,0,fixed,83,96,0.0168137360319573,96,83,0.04606139998213621,0.7920301000049221
Mk05-202-19,Mk05,explore,19,202,0,round,96,96,0.022778007965292092,39,65,0.018321899988222867,0.2765928000007989
Mk05-202-19,Mk05,explore,19,202,0,stop,96,96,0.019379091351921236,29,84,0.013600200007203966,0.22575030000007246
Mk05-202-19,Mk05,explore,19,202,0,feedback,96,96,0.03262127421579614,31,75,0.015789400014909916,0.23595519999798853
Mk05-202-19,Mk05,explore,19,202,1,fixed,63,96,0.0143368928621387,96,63,0.046289599980809726,0.789929899998242
Mk05-202-19,Mk05,explore,19,202,1,round,96,96,0.016070877380647983,39,64,0.019392599984712433,0.2935107000012067
Mk05-202-19,Mk05,explore,19,202,1,stop,96,96,0.019706303959788632,29,84,0.013418999980785884,0.22578249999787658
Mk05-202-19,Mk05,explore,19,202,1,feedback,96,96,0.013712974814981292,30,82,0.01444080001238035,0.24041169999691192
Mk05-202-19,Mk05,explore,19,202,2,fixed,55,96,0.016617334455780564,96,55,0.045542700034275185,0.7743321000016294
Mk05-202-19,Mk05,explore,19,202,2,round,96,96,0.015223627246999367,39,66,0.01805459999741288,0.27473360000294633
Mk05-202-19,Mk05,explore,19,202,2,stop,96,96,0.029421217716198128,29,84,0.01375610001559835,0.2233016000027419
Mk05-202-19,Mk05,explore,19,202,2,feedback,95,96,0.014708546014646174,34,50,0.017174099979456514,0.22999809999600984
Mk05-303-0,Mk05,explore,0,303,0,fixed,96,96,0.14670291355275453,24,96,0.011160899986862205,0.19477360000018962
Mk05-303-0,Mk05,explore,0,303,0,round,96,96,0.10387733803599122,37,65,0.018230200032121502,0.2775729999993928
Mk05-303-0,Mk05,explore,0,303,0,stop,95,96,0.14013297217313908,24,92,0.011404700002458412,0.19434239999827696
Mk05-303-0,Mk05,explore,0,303,0,feedback,96,96,0.06965713656951131,30,71,0.015547600014542695,0.24711289999686414
Mk05-303-0,Mk05,explore,0,303,1,fixed,96,96,0.136614738014329,24,96,0.011031700007151812,0.19871879999845987
